species	NCBI.taxid	mass_kg	mass_db	lifespan_days	lifespan_db	length_cm	length_db	polymorphism_derived_Ne
Dipodomys_spectabilis	105255	0.145	AnAge;ADW	4635.5	AnAge;ADW	14.114	EOL	NA
Dirofilaria_immitis	6287	NA	NA	NA	NA	30	ADW	NA
Dissostichus_eleginoides	100907	9.6	fishbase	18250	AnAge	215	EOL;fishbase	NA
Dissostichus_mawsoni	36200	80	fishbase	14235	EOL;fishbase	200	EOL;fishbase	NA
Diuraphis_noxia	143948	NA	NA	90	ADW	0.21	ADW	NA
Donacobius_atricapilla	237420	0.044	EOL	NA	NA	NA	NA	NA
Dracunculus_medinensis	318479	NA	NA	730	ADW	120	ADW	NA
Dreissena_polymorpha	45954	0.00204	EOL	3285	ADW text	2	ADW;EOL	NA
Dromaius_novaehollandiae	8790	40	ADW	7300	ADW	190	ADW	NA
Dromas_ardeola	458190	0.325	EOL	NA	NA	NA	NA	NA
Dromiciops_gliroides	33562	0.042	ADW	1152	EOL	13	ADW	NA
Drosophila_grimshawi	7222	NA	NA	50	Johansson 2005	0.5	web	NA
Drosophila_melanogaster	7227	0.000000354	Lynch et al. 2023	109.5	AnAge;ADW;EOL	0.3	ADW format;EOL image	627824.294333939
Drosophila_pseudoobscura	7237	0.000001	Lynch et al. 2023	90	Vetukhiv 1957	0.1955	Druger 1962	350177.774106756
Drosophila_simulans	7240	0.000000263	Lynch et al. 2023	NA	NA	NA	NA	1465439.57485146
Drosophila_suzukii	28584	NA	NA	38	Lin 2014	0.33	EOL image	NA
Drymodes_brunneopygia	626378	0.04	EOL	3540.5	AnAge	NA	NA	NA
Dryoscopus_gambensis	85069	0.035	EOL	NA	NA	NA	NA	NA
Dunckerocampus_dactyliophorus	161453	NA	NA	NA	NA	19	EOL;fishbase	NA
Echeneis_naucrates	173247	2.363	EOL	NA	NA	110	fishbase;EOL	NA
Echinococcus_granulosus	6210	NA	NA	NA	NA	0.9	ADW	NA
Echinococcus_multilocularis	6211	NA	NA	NA	NA	1.5	EOL	NA
Echinops_telfairi	9371	0.18	AnAge	6935	AnAge	16	EOL	NA
Eciton_burchellii	213866	NA	NA	NA	NA	1.2	ADW	NA
Egretta_garzetta	188379	0.312	AnAge;EOL	8139.5	AnAge;EOL	NA	NA	NA
